NRO,sukunimi,etunimet,henkilötunnus,tdk (random),osoite,postitoimipaikka,sähköposti,ehdokasnimi,rengas,vaaliliiton järjestys,liitto,ehdokasjärjestys
148,Vähäkuopus,Niko Mikael,,L,Testiosoite 147,10146 Helsinki,etunimi.sukunimi.146@example.com,"Vähäkuopus, Niko",Pelastusrengas,2,Kokoomusopiskelijat 2,47
149,Välisalmi,Satu Maria,,MM,Testiosoite 148,10147 Helsinki,etunimi.sukunimi.147@example.com,"Välisalmi, Satu",Pelastusrengas,2,Kokoomusopiskelijat 2,48
150,Wilskman,Juho-Erik,,K,Testiosoite 149,10148 Helsinki,etunimi.sukunimi.148@example.com,"Wilskman, Juho",Pelastusrengas,2,Kokoomusopiskelijat 2,49
151,Acar,Ömer,,E,Testiosoite 150,10149 Helsinki,etunimi.sukunimi.149@example.com,"Acar, Ömer",Pelastusrengas,3,Keskeiset,1
152,Autelo,Asko Juhani,,H,Testiosoite 151,10150 Helsinki,etunimi.sukunimi.150@example.com,"Autelo, Asko",Pelastusrengas,3,Keskeiset,2
153,Eskelinen,Aleksi Eerikki,,ML,Testiosoite 152,10151 Helsinki,etunimi.sukunimi.151@example.com,"Eskelinen, Aleksi",Pelastusrengas,3,Keskeiset,3
154,Eskelinen,Juha Markus,,V,Testiosoite 153,10152 Helsinki,etunimi.sukunimi.152@example.com,"Eskelinen, Juha",Pelastusrengas,3,Keskeiset,4
155,Hämäläinen,Jouko Asser,,O,Testiosoite 154,10153 Helsinki,etunimi.sukunimi.153@example.com,"Hämäläinen, Jouko",Pelastusrengas,3,Keskeiset,5
156,Kallio,Jaakko Johan Anttoni,,B,Testiosoite 155,10154 Helsinki,etunimi.sukunimi.154@example.com,"Kallio, Jaakko",Pelastusrengas,3,Keskeiset,6
157,Kallio,Laura Maria,,T,Testiosoite 156,10155 Helsinki,etunimi.sukunimi.155@example.com,"Kallio, Laura",Pelastusrengas,3,Keskeiset,7
158,Karhunen,Heli Maria,,L,Testiosoite 157,10156 Helsinki,etunimi.sukunimi.156@example.com,"Karhunen, Heli",Pelastusrengas,3,Keskeiset,8
159,Kinnunen,Teemu Matias,,MM,Testiosoite 158,10157 Helsinki,etunimi.sukunimi.157@example.com,"Kinnunen, Teemu",Pelastusrengas,3,Keskeiset,9
160,Lahtinen,Anu Tuulia,,K,Testiosoite 159,10158 Helsinki,etunimi.sukunimi.158@example.com,"Lahtinen, Anu",Pelastusrengas,3,Keskeiset,10
161,Paukkeri,Susanna Elina,,E,Testiosoite 160,10159 Helsinki,etunimi.sukunimi.159@example.com,"Paukkeri, Susanna",Pelastusrengas,3,Keskeiset,11
162,Peltokangas,Kalle Matias,,H,Testiosoite 161,10160 Helsinki,etunimi.sukunimi.160@example.com,"Peltokangas, Kalle",Pelastusrengas,3,Keskeiset,12
163,Pihlaja,Kaisa Heleena,,ML,Testiosoite 162,10161 Helsinki,etunimi.sukunimi.161@example.com,"Pihlaja, Kaisa",Pelastusrengas,3,Keskeiset,13
164,Ranki,Anna Elina,,V,Testiosoite 163,10162 Helsinki,etunimi.sukunimi.162@example.com,"Ranki, Anna",Pelastusrengas,3,Keskeiset,14
165,Saaristo,Olli Juhani,,O,Testiosoite 164,10163 Helsinki,etunimi.sukunimi.163@example.com,"Saaristo, Olli",Pelastusrengas,3,Keskeiset,15
166,Sivula,Mika Johannes,,B,Testiosoite 165,10164 Helsinki,etunimi.sukunimi.164@example.com,"Sivula, Mika",Pelastusrengas,3,Keskeiset,16
167,Vuorinen,Simo Antero,,T,Testiosoite 166,10165 Helsinki,etunimi.sukunimi.165@example.com,"Vuorinen, Simo",Pelastusrengas,3,Keskeiset,17
168,Ylimaa,Markus Matti Juhani,,L,Testiosoite 167,10166 Helsinki,etunimi.sukunimi.166@example.com,"Ylimaa, Markus",Pelastusrengas,3,Keskeiset,18
169,Forsberg,Andreas David,,MM,Testiosoite 168,10167 Helsinki,etunimi.sukunimi.167@example.com,"Forsberg, Andreas 'Andy' ",Pelastusrengas,4,KD Helsingin opiskelijat,1
170,Furu,Niklas Joakim,,K,Testiosoite 169,10168 Helsinki,etunimi.sukunimi.168@example.com,"Furu, Niklas",Pelastusrengas,4,KD Helsingin opiskelijat,2
171,Garaisi,Tomas Fozi Johannes,,E,Testiosoite 170,10169 Helsinki,etunimi.sukunimi.169@example.com,"Garaisi, Tomas",Pelastusrengas,4,KD Helsingin opiskelijat,3
172,Kaksonen,Marika Julie,,H,Testiosoite 171,10170 Helsinki,etunimi.sukunimi.170@example.com,"Kaksonen, Marika",Pelastusrengas,4,KD Helsingin opiskelijat,4
173,Kyyhkynen,Suvianna,,ML,Testiosoite 172,10171 Helsinki,etunimi.sukunimi.171@example.com,"Kyyhkynen, Suvianna",Pelastusrengas,4,KD Helsingin opiskelijat,5
174,Kärmeranta,Hanna Riikka,,V,Testiosoite 173,10172 Helsinki,etunimi.sukunimi.172@example.com,"Kärmeranta, Hanna",Pelastusrengas,4,KD Helsingin opiskelijat,6
175,Mikkonen,Tero Hannu Taneli,,O,Testiosoite 174,10173 Helsinki,etunimi.sukunimi.173@example.com,"Mikkonen, Tero",Pelastusrengas,4,KD Helsingin opiskelijat,7
176,Pynnönen,Eerika Katariina,,B,Testiosoite 175,10174 Helsinki,etunimi.sukunimi.174@example.com,"Pynnönen, Eerika",Pelastusrengas,4,KD Helsingin opiskelijat,8
177,Riihimäki,Ilkka Hannu Tapani,,T,Testiosoite 176,10175 Helsinki,etunimi.sukunimi.175@example.com,"Riihimäki, Ilkka",Pelastusrengas,4,KD Helsingin opiskelijat,9
178,Salo,Tuomas Tapio,,L,Testiosoite 177,10176 Helsinki,etunimi.sukunimi.176@example.com,"Salo, Tuomas",Pelastusrengas,4,KD Helsingin opiskelijat,10
179,Simonen,Iiris Isabella,,MM,Testiosoite 178,10177 Helsinki,etunimi.sukunimi.177@example.com,"Simonen, Iiris",Pelastusrengas,4,KD Helsingin opiskelijat,11
180,Starck,Leo Veli Mikael,,K,Testiosoite 179,10178 Helsinki,etunimi.sukunimi.178@example.com,"Starck, Leo",Pelastusrengas,4,KD Helsingin opiskelijat,12
181,Tompuri,Pamela Teresa,,E,Testiosoite 180,10179 Helsinki,etunimi.sukunimi.179@example.com,"Tompuri, Pamela",Pelastusrengas,4,KD Helsingin opiskelijat,13
182,Ventin,Sonja Maria,,H,Testiosoite 181,10180 Helsinki,etunimi.sukunimi.180@example.com,"Ventin, Sonja",Pelastusrengas,4,KD Helsingin opiskelijat,14
183,Holmström,Jenny-Li Alexandra,,ML,Testiosoite 182,10181 Helsinki,etunimi.sukunimi.181@example.com,"Holmström, Jenny-Li",SNÄf,1,Codex-Thorax,1
184,Huldén,Rainer Alexis,,V,Testiosoite 183,10182 Helsinki,etunimi.sukunimi.182@example.com,"Huldén, Alexis",SNÄf,1,Codex-Thorax,2
185,Kuhlefelt,Max Jasper,,O,Testiosoite 184,10183 Helsinki,etunimi.sukunimi.183@example.com,"Kuhlefelt, Jasper",SNÄf,1,Codex-Thorax,3
186,Rantanen,Johanna Valdine,,B,Testiosoite 185,10184 Helsinki,etunimi.sukunimi.184@example.com,"Rantanen, Johanna",SNÄf,1,Codex-Thorax,4
187,Tanskanen,Tuulia Kaijaliina,,T,Testiosoite 186,10185 Helsinki,etunimi.sukunimi.185@example.com,"Tanskanen, Tuulia",SNÄf,1,Codex-Thorax,5
188,Törnblom,Petra Vanessa Helena,,L,Testiosoite 187,10186 Helsinki,etunimi.sukunimi.186@example.com,"Törnblom, Vanessa",SNÄf,1,Codex-Thorax,6
189,Hildén,Erik Oscar Johannes,,MM,Testiosoite 188,10187 Helsinki,etunimi.sukunimi.187@example.com,"Hildén, Oscar",SNÄf,1,Codex-Thorax,7
190,Pipping,Hugo Adrian,,K,Testiosoite 189,10188 Helsinki,etunimi.sukunimi.188@example.com,"Pipping, Hugo",SNÄf,1,Codex-Thorax,8
191,Finne,Jenny Ina,,E,Testiosoite 190,10189 Helsinki,etunimi.sukunimi.189@example.com,"Finne, Ina",SNÄf,2,Nationerna,1
192,Finne,Marie Fredrika,,H,Testiosoite 191,10190 Helsinki,etunimi.sukunimi.190@example.com,"Finne, Marie 'Mojo'",SNÄf,2,Nationerna,2
193,Forsskåhl,Kaj Oskar Petter,,ML,Testiosoite 192,10191 Helsinki,etunimi.sukunimi.191@example.com,"Forsskåhl, Oskar",SNÄf,2,Nationerna,3
194,Husberg,Ida Regina Katarina,,V,Testiosoite 193,10192 Helsinki,etunimi.sukunimi.192@example.com,"Husberg, Ida",SNÄf,2,Nationerna,4
195,Kilpelä,Eliel Johan Sakari,,O,Testiosoite 194,10193 Helsinki,etunimi.sukunimi.193@example.com,"Kilpelä, Eliel",SNÄf,2,Nationerna,5
196,Murto,Armi Helena,,B,Testiosoite 195,10194 Helsinki,etunimi.sukunimi.194@example.com,"Murto, Armi",SNÄf,2,Nationerna,6
197,Scheinin,Elias Theodor,,T,Testiosoite 196,10195 Helsinki,etunimi.sukunimi.195@example.com,"Scheinin, Elias",SNÄf,2,Nationerna,7
198,Engblom,Carl Ronny,,L,Testiosoite 197,10196 Helsinki,etunimi.sukunimi.196@example.com,"Engbom, Ronny",SNÄf,2,Nationerna,8
199,Finnäs,Jens Anders,,MM,Testiosoite 198,10197 Helsinki,etunimi.sukunimi.197@example.com,"Finnäs, Jens",SNÄf,2,Nationerna,9
200,Knip,Sara Sofia Linnea,,K,Testiosoite 199,10198 Helsinki,etunimi.sukunimi.198@example.com,"Knip, Sara",SNÄf,2,Nationerna,10
201,Smeds,Charlotta Anna Erika,,E,Testiosoite 200,10199 Helsinki,etunimi.sukunimi.199@example.com,"Smeds, Charlotta",SNÄf,2,Nationerna,11
202,Sjölund,Carl Stefan Mikael,,H,Testiosoite 201,10200 Helsinki,etunimi.sukunimi.200@example.com,"Sjölund, Stefan",SNÄf,2,Nationerna,12
203,Sundström,Kasper Nils Oskar,,ML,Testiosoite 202,10201 Helsinki,etunimi.sukunimi.201@example.com,"Sundström, Kasper",SNÄf,2,Nationerna,13
204,French,Jenny Maria,,V,Testiosoite 203,10202 Helsinki,etunimi.sukunimi.202@example.com,"French, Jenny",SNÄf,2,Nationerna,14
205,Nordling,Emilia Elisabeth,,O,Testiosoite 204,10203 Helsinki,etunimi.sukunimi.203@example.com,"Nordling, Emilia",SNÄf,2,Nationerna,15
206,Palmén,Anna-Pia Margareta,,B,Testiosoite 205,10204 Helsinki,etunimi.sukunimi.204@example.com,"Palmén, Anna-Pia",SNÄf,2,Nationerna,16
207,Pirinen,Jani Ruben Rickard,,T,Testiosoite 206,10205 Helsinki,etunimi.sukunimi.205@example.com,"Pirinen, Jani",SNÄf,2,Nationerna,17
208,Tallberg,Annette Margaretha,,L,Testiosoite 207,10206 Helsinki,etunimi.sukunimi.206@example.com,"Tallberg, Annette",SNÄf,2,Nationerna,18
209,Andersson,Elin Elisabeth,,MM,Testiosoite 208,10207 Helsinki,etunimi.sukunimi.207@example.com,"Andersson, Elin",SNÄf,3,StudOrg,1
210,Haglund,Mia Maria Katrina,,K,Testiosoite 209,10208 Helsinki,etunimi.sukunimi.208@example.com,"Haglund, Mia",SNÄf,3,StudOrg,2
211,Kyllönen,Rasmus Wilhelm,,E,Testiosoite 210,10209 Helsinki,etunimi.sukunimi.209@example.com,"Kyllönen, Rasmus",SNÄf,3,StudOrg,3
212,Lindström,Anna Liselott,,H,Testiosoite 211,10210 Helsinki,etunimi.sukunimi.210@example.com,"Lindström, Liselott",SNÄf,3,StudOrg,4
213,Metsämäki,Johanna Linnéa,,ML,Testiosoite 212,10211 Helsinki,etunimi.sukunimi.211@example.com,"Metsämäki, Johanna",SNÄf,3,StudOrg,5
214,Ringbom,Karin Elisabeth,,V,Testiosoite 213,10212 Helsinki,etunimi.sukunimi.212@example.com,"Ringbom, Karin",SNÄf,3,StudOrg,6
215,Riska,Johannes Alfred,,O,Testiosoite 214,10213 Helsinki,etunimi.sukunimi.213@example.com,"Riska, Johannes",SNÄf,3,StudOrg,7
216,Sjöholm,Peter Christoffer,,B,Testiosoite 215,10214 Helsinki,etunimi.sukunimi.214@example.com,"Sjöholm, Peter 'Poppe'",SNÄf,3,StudOrg,8
217,Sundberg,Maj Brita,,T,Testiosoite 216,10215 Helsinki,etunimi.sukunimi.215@example.com,"Sundberg, Maj",SNÄf,3,StudOrg,9
218,Tallqvist,John Henrik,,L,Testiosoite 217,10216 Helsinki,etunimi.sukunimi.216@example.com,"Tallqvist, John",SNÄf,3,StudOrg,10
219,Uusikylä,Ulf Erik Julius,,MM,Testiosoite 218,10217 Helsinki,etunimi.sukunimi.217@example.com,"Uusikylä, Julius",SNÄf,3,StudOrg,11
220,Wikström,Joanna Daniela Henrika,,K,Testiosoite 219,10218 Helsinki,etunimi.sukunimi.218@example.com,"Wikström, Joanna",SNÄf,3,StudOrg,12
221,Sandqvist,Oskar,,E,Testiosoite 220,10219 Helsinki,etunimi.sukunimi.219@example.com,"Sandqvist, Oskar",SNÄf,4,Ämnesföreningarna,1
222,Granbohm,Henrika Laura Annina,,H,Testiosoite 221,10220 Helsinki,etunimi.sukunimi.220@example.com,"Granbohm, Henrika",SNÄf,4,Ämnesföreningarna,2
223,Liesipohja,Susanna Birgitta,,ML,Testiosoite 222,10221 Helsinki,etunimi.sukunimi.221@example.com,"Liesipohja, Susanna",SNÄf,4,Ämnesföreningarna,3
224,Venäläinen,Annika Elisa,,V,Testiosoite 223,10222 Helsinki,etunimi.sukunimi.222@example.com,"Venäläinen, Annika",SNÄf,4,Ämnesföreningarna,4
225,Andersson,Timo Tapio,,O,Testiosoite 224,10223 Helsinki,etunimi.sukunimi.223@example.com,"Andersson, Timo",Liberaalit,1,Liberaalinen vaaliliitto - yksilönvapauden puolesta,1
226,Sjöström,Kim,,B,Testiosoite 225,10224 Helsinki,etunimi.sukunimi.224@example.com,"Sjöström, Kim",Liberaalit,1,Liberaalinen vaaliliitto - yksilönvapauden puolesta,2
227,Vainio,Janne Mikael,,T,Testiosoite 226,10225 Helsinki,etunimi.sukunimi.225@example.com,"Vainio, Janne",Liberaalit,1,Liberaalinen vaaliliitto - yksilönvapauden puolesta,3
228,Apter,Ted Daniel,,L,Testiosoite 227,10226 Helsinki,etunimi.sukunimi.226@example.com,"Apter, Ted",HELP,1,Pykälä,1
229,Autio,Ilari Alvar,,MM,Testiosoite 228,10227 Helsinki,etunimi.sukunimi.227@example.com,"Autio, Ilari",HELP,1,Pykälä,2
230,Blåfield,Eero Antero,,K,Testiosoite 229,10228 Helsinki,etunimi.sukunimi.228@example.com,"Blåfield, Eero",HELP,1,Pykälä,3
231,Giss,Heidi Maria Kristiina,,E,Testiosoite 230,10229 Helsinki,etunimi.sukunimi.229@example.com,"Giss, Heidi",HELP,1,Pykälä,4
232,Granlund,Aarne Jouni,,H,Testiosoite 231,10230 Helsinki,etunimi.sukunimi.230@example.com,"Granlund, Aarne",HELP,1,Pykälä,5
233,Hallikainen,Irene Mirjam,,ML,Testiosoite 232,10231 Helsinki,etunimi.sukunimi.231@example.com,"Hallikainen, Irene",HELP,1,Pykälä,6
234,Hokkanen,Minna Marianne,,V,Testiosoite 233,10232 Helsinki,etunimi.sukunimi.232@example.com,"Hokkanen, Minna",HELP,1,Pykälä,7
235,Hytönen,Satu Eeva-Johanna,,O,Testiosoite 234,10233 Helsinki,etunimi.sukunimi.233@example.com,"Hytönen, Satu",HELP,1,Pykälä,8
236,Kaakkola,Antti Julius,,B,Testiosoite 235,10234 Helsinki,etunimi.sukunimi.234@example.com,"Kaakkola, Antti",HELP,1,Pykälä,9
237,Karvinen,Kiti Marjukka,,T,Testiosoite 236,10235 Helsinki,etunimi.sukunimi.235@example.com,"Karvinen, Kiti",HELP,1,Pykälä,10
238,Keino,Iiris Niina Katariina,,L,Testiosoite 237,10236 Helsinki,etunimi.sukunimi.236@example.com,"Keino, Iiris",HELP,1,Pykälä,11
239,Kerppola,Antti Johan,,MM,Testiosoite 238,10237 Helsinki,etunimi.sukunimi.237@example.com,"Kerppola, Antti",HELP,1,Pykälä,12
240,Komulainen,Elina Johanna,,K,Testiosoite 239,10238 Helsinki,etunimi.sukunimi.238@example.com,"Komulainen, Elina",HELP,1,Pykälä,13
241,Kortesmaa,Kaisa Laura Irene,,E,Testiosoite 240,10239 Helsinki,etunimi.sukunimi.239@example.com,"Kortesmaa, Kaisa",HELP,1,Pykälä,14
242,Koskentausta,Lauri Juhani,,H,Testiosoite 241,10240 Helsinki,etunimi.sukunimi.240@example.com,"Koskentausta, Lauri",HELP,1,Pykälä,15
243,Kouhi,Markus Tapio,,ML,Testiosoite 242,10241 Helsinki,etunimi.sukunimi.241@example.com,"Kouhi, Markus",HELP,1,Pykälä,16
244,Kylmäniemi,Hanna Linnea,,V,Testiosoite 243,10242 Helsinki,etunimi.sukunimi.242@example.com,"Kylmäniemi, Hanna",HELP,1,Pykälä,17
245,Kärki,Eero Antero,,O,Testiosoite 244,10243 Helsinki,etunimi.sukunimi.243@example.com,"Kärki, Eero",HELP,1,Pykälä,18
246,Lahtinen,Alpo Olavi,,B,Testiosoite 245,10244 Helsinki,etunimi.sukunimi.244@example.com,"Lahtinen, Alpo",HELP,1,Pykälä,19
247,Lassila,Samu Petteri,,T,Testiosoite 246,10245 Helsinki,etunimi.sukunimi.245@example.com,"Lassila, Samu",HELP,1,Pykälä,20
248,Lehti,Isabella Annina,,L,Testiosoite 247,10246 Helsinki,etunimi.sukunimi.246@example.com,"Lehti, Isabella",HELP,1,Pykälä,21
249,Lindholm,Kristiina Annukka,,MM,Testiosoite 248,10247 Helsinki,etunimi.sukunimi.247@example.com,"Lindholm, Kristiina",HELP,1,Pykälä,22
250,Linnankoski,Manuel Tähti,,K,Testiosoite 249,10248 Helsinki,etunimi.sukunimi.248@example.com,"Linnankoski, Manuel",HELP,1,Pykälä,23
251,Markkanen,Otto,,E,Testiosoite 250,10249 Helsinki,etunimi.sukunimi.249@example.com,"Markkanen, Otto",HELP,1,Pykälä,24
252,Mattila,Olli-Pekka Sakari,,H,Testiosoite 251,10250 Helsinki,etunimi.sukunimi.250@example.com,"Mattila, Olli-Pekka",HELP,1,Pykälä,25
253,Merenmies,Matilda Aurora,,ML,Testiosoite 252,10251 Helsinki,etunimi.sukunimi.251@example.com,"Merenmies, Matilda",HELP,1,Pykälä,26
254,Metsämäki,Joonas Akseli,,V,Testiosoite 253,10252 Helsinki,etunimi.sukunimi.252@example.com,"Metsämäki, Joonas",HELP,1,Pykälä,27
255,Muinonen,Kaisa Tellervo,,O,Testiosoite 254,10253 Helsinki,etunimi.sukunimi.253@example.com,"Muinonen, Kaisa",HELP,1,Pykälä,28
256,Männistö,Johanna Maria,,B,Testiosoite 255,10254 Helsinki,etunimi.sukunimi.254@example.com,"Männistö, Johanna",HELP,1,Pykälä,29
257,Nieminen,Tero Seppo Ilari,,T,Testiosoite 256,10255 Helsinki,etunimi.sukunimi.255@example.com,"Nieminen, Tero",HELP,1,Pykälä,30
258,Paajanen,Panu Juhana,,L,Testiosoite 257,10256 Helsinki,etunimi.sukunimi.256@example.com,"Paajanen, Panu",HELP,1,Pykälä,31
259,Paajanen,Sini Helena,,MM,Testiosoite 258,10257 Helsinki,etunimi.sukunimi.257@example.com,"Paajanen, Sini",HELP,1,Pykälä,32
260,Rehula,Tero Kalevi,,K,Testiosoite 259,10258 Helsinki,etunimi.sukunimi.258@example.com,"Rehula, Tero",HELP,1,Pykälä,33
261,Rudanko,Mikko Jorma Johannes,,E,Testiosoite 260,10259 Helsinki,etunimi.sukunimi.259@example.com,"Rudanko, Mikko",HELP,1,Pykälä,34
262,Rytkönen,Tuomas Erik Johannes,,H,Testiosoite 261,10260 Helsinki,etunimi.sukunimi.260@example.com,"Rytkönen, Tuomas",HELP,1,Pykälä,35
263,Ryynänen,Kalle Elias Markunpoika,,ML,Testiosoite 262,10261 Helsinki,etunimi.sukunimi.261@example.com,"Ryynänen, Kalle",HELP,1,Pykälä,36
264,Salli,Saku Pekka,,V,Testiosoite 263,10262 Helsinki,etunimi.sukunimi.262@example.com,"Salli, Saku",HELP,1,Pykälä,37
265,Salo,Jussi Jaakko Sakari,,O,Testiosoite 264,10263 Helsinki,etunimi.sukunimi.263@example.com,"Salo, Jussi",HELP,1,Pykälä,38
266,Supperi,Iina-Mari,,B,Testiosoite 265,10264 Helsinki,etunimi.sukunimi.264@example.com,"Supperi, Iina-Mari",HELP,1,Pykälä,39
267,Säteri,Johanna Maria,,T,Testiosoite 266,10265 Helsinki,etunimi.sukunimi.265@example.com,"Säteri, Johanna",HELP,1,Pykälä,40
268,Termonen,Jon Emil,,L,Testiosoite 267,10266 Helsinki,etunimi.sukunimi.266@example.com,"Termonen, Jon",HELP,1,Pykälä,41
269,Tuohimaa,Kiira Sofia,,MM,Testiosoite 268,10267 Helsinki,etunimi.sukunimi.267@example.com,"Tuohimaa, Kiira",HELP,1,Pykälä,42
270,Viljanen,Jesse Juhana,,K,Testiosoite 269,10268 Helsinki,etunimi.sukunimi.268@example.com,"Viljanen, Jesse",HELP,1,Pykälä,43
271,Vilkko,Nelli Pauliina,,E,Testiosoite 270,10269 Helsinki,etunimi.sukunimi.269@example.com,"Vilkko, Nelli",HELP,1,Pykälä,44
272,Ahmed,Haji Omar Abdirisak,,H,Testiosoite 271,10270 Helsinki,etunimi.sukunimi.270@example.com,"Ahmed, Abdirisak",HELP,2,LKS / HLKS,1
273,Aspelund,Markus Aleksanteri,,ML,Testiosoite 272,10271 Helsinki,etunimi.sukunimi.271@example.com,"Aspelund, Aleksanteri",HELP,2,LKS / HLKS,2
274,Gogulski,Juha Daniel,,V,Testiosoite 273,10272 Helsinki,etunimi.sukunimi.272@example.com,"Gogulski, Juha",HELP,2,LKS / HLKS,3
275,Kaprio,Tuomas Juho Arthur,,O,Testiosoite 274,10273 Helsinki,etunimi.sukunimi.273@example.com,"Kaprio, Tuomas",HELP,2,LKS / HLKS,4
276,Koivunen,Riku-Jaakko,,B,Testiosoite 275,10274 Helsinki,etunimi.sukunimi.274@example.com,"Koivunen, Riku",HELP,2,LKS / HLKS,5
277,Lommi,Markus Juhani,,T,Testiosoite 276,10275 Helsinki,etunimi.sukunimi.275@example.com,"Lommi, Markus",HELP,2,LKS / HLKS,6
278,Rautiola,Juhana Aarni Kaleva,,L,Testiosoite 277,10276 Helsinki,etunimi.sukunimi.276@example.com,"Rautiola, Juhana",HELP,2,LKS / HLKS,7
279,Salminen,Ville Sameli,,MM,Testiosoite 278,10277 Helsinki,etunimi.sukunimi.277@example.com,"Salminen, Ville",HELP,2,LKS / HLKS,8
280,Sipilä,Pyry Nestori,,K,Testiosoite 279,10278 Helsinki,etunimi.sukunimi.278@example.com,"Sipilä, Pyry",HELP,2,LKS / HLKS,9
281,Suomalainen,Olli Pekka,,E,Testiosoite 280,10279 Helsinki,etunimi.sukunimi.279@example.com,"Suomalainen, Olli",HELP,2,LKS / HLKS,10
282,Tamminen,Henni Tuulia,,H,Testiosoite 281,10280 Helsinki,etunimi.sukunimi.280@example.com,"Tamminen, Henni",HELP,2,LKS / HLKS,11
283,Torkki,Matias Ilmari,,ML,Testiosoite 282,10281 Helsinki,etunimi.sukunimi.281@example.com,"Torkki, Matias",HELP,2,LKS / HLKS,12
284,Valle,Jussi Tapani,,V,Testiosoite 283,10282 Helsinki,etunimi.sukunimi.282@example.com,"Valle, Jussi",HELP,2,LKS / HLKS,13
285,Vangelova,Velina,,O,Testiosoite 284,10283 Helsinki,etunimi.sukunimi.283@example.com,"Vangelova, Velina",HELP,2,LKS / HLKS,14
286,Yoder,Käthe Susanna,,B,Testiosoite 285,10284 Helsinki,etunimi.sukunimi.284@example.com,"Yoder, Käthe",HELP,2,LKS / HLKS,15
287,Bruce,Anne Pauliina,,T,Testiosoite 286,10285 Helsinki,etunimi.sukunimi.285@example.com,"Bruce, Anne",HELP,3,EKY,1
288,von Freymann,Sebastian,,L,Testiosoite 287,10286 Helsinki,etunimi.sukunimi.286@example.com,"von Freymann, Sebastian",HELP,3,EKY,2
289,Hakanen,Anni Kaarina,,MM,Testiosoite 288,10287 Helsinki,etunimi.sukunimi.287@example.com,"Hakanen, Anni",HELP,3,EKY,3
290,Helin,Henriikka,,K,Testiosoite 289,10288 Helsinki,etunimi.sukunimi.288@example.com,"Helin, Henriikka",HELP,3,EKY,4
291,Hämäläinen,Karoliina Emilia,,E,Testiosoite 290,10289 Helsinki,etunimi.sukunimi.289@example.com,"Hämäläinen, Karoliina",HELP,3,EKY,5
292,Immonen,Isa Anna Maria,,H,Testiosoite 291,10290 Helsinki,etunimi.sukunimi.290@example.com,"Immonen, Isa",HELP,3,EKY,6
293,Jokinen,Olli Oskari,,ML,Testiosoite 292,10291 Helsinki,etunimi.sukunimi.291@example.com,"Jokinen, Olli",HELP,3,EKY,7
294,Kallio-Kujala,Ira Janika,,V,Testiosoite 293,10292 Helsinki,etunimi.sukunimi.292@example.com,"Kallio-Kujala, Ira",HELP,3,EKY,8
295,Kiimamaa,Raisa Johanna Tuulia,,O,Testiosoite 294,10293 Helsinki,etunimi.sukunimi.293@example.com,"Kiimamaa, Raisa",HELP,3,EKY,9
296,Kilpeläinen,Miika Antti Johannes,,B,Testiosoite 295,10294 Helsinki,etunimi.sukunimi.294@example.com,"Kilpeläinen, Miika",HELP,3,EKY,10
297,Mäkelä,Anna-Leena,,T,Testiosoite 296,10295 Helsinki,etunimi.sukunimi.295@example.com,"Mäkelä, Anna-Leena",HELP,3,EKY,11
298,Niinimäki,Heini Maria,,L,Testiosoite 297,10296 Helsinki,etunimi.sukunimi.296@example.com,"Niinimäki, Heini",HELP,3,EKY,12
299,Riihimäki,Aino Marja,,MM,Testiosoite 298,10297 Helsinki,etunimi.sukunimi.297@example.com,"Riihimäki, Aino",HELP,3,EKY,13
300,Sivonen,Kaija Sofia,,K,Testiosoite 299,10298 Helsinki,etunimi.sukunimi.298@example.com,"Sivonen, Kaija",HELP,3,EKY,14
301,Sukura,Okko Arttu Kalle,,E,Testiosoite 300,10299 Helsinki,etunimi.sukunimi.299@example.com,"Sukura, Okko",HELP,3,EKY,15
302,Tuominen,Elli Orvokki,,H,Testiosoite 301,10300 Helsinki,etunimi.sukunimi.300@example.com,"Tuominen, Elli",HELP,3,EKY,16
303,Grönroos,Simo Juhani,,ML,Testiosoite 302,10301 Helsinki,etunimi.sukunimi.301@example.com,"Grönroos, Simo",Perussuomalaiset,1,Perussuomalainen vaaliliitto,1
304,Nieminen,Marko Johannes,,V,Testiosoite 303,10302 Helsinki,etunimi.sukunimi.302@example.com,"Nieminen, Johannes",Perussuomalaiset,1,Perussuomalainen vaaliliitto,2
305,Lahtinen,Teemu Ilkka Antero,,O,Testiosoite 304,10303 Helsinki,etunimi.sukunimi.303@example.com,"Lahtinen, Teemu",Perussuomalaiset,1,Perussuomalainen vaaliliitto,3
306,Ahola,Riku Jussi,,B,Testiosoite 305,10304 Helsinki,etunimi.sukunimi.304@example.com,"Ahola, Riku",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,1
307,Alhojärvi,Lauri Väinö Johannes,,T,Testiosoite 306,10305 Helsinki,etunimi.sukunimi.305@example.com,"Alhojärvi, Lauri",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,2
308,Alhojärvi,Tuomo Veli Juhana,,L,Testiosoite 307,10306 Helsinki,etunimi.sukunimi.306@example.com,"Alhojärvi, Tuomo",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,3
309,Alvarez Gomez,Sebastian Joel,,MM,Testiosoite 308,10307 Helsinki,etunimi.sukunimi.307@example.com,"Alvarez, Sebastian",Maailmanpyörä,1,Sitoutumaton vasemmisto - Obunden vänster - Independent left,4
